schema: *key, $text

MONTITLE,        "DEX Monsters"
MMONTITLE,       "DEX More Monsters"
MONSUM,          "The Monsters of Daggerfall Enemy Expansion"
MMONSUM,         "More Monsters of Daggerfall Enemy Expansion"
ANTITLE,         "DEX Animals"
ANSUM,           "The Animals of Daggerfall Enemy Expansion"
UNDTITLE,        "DEX Undead"
UNDSUM,          "The Undead of Daggerfall Enemy Expansion"
DAETITLE,        "DEX Daedra"
DAESUM,          "The Daedra of Daggerfall Enemy Expansion"
GOLTITLE,        "DEX Golems"
GOLSUM,          "The Golems of Daggerfall Enemy Expansion"
